kod	ad
6001001	Azərbaycan dili və ədəbiyyatı müəllimliyi
6001002	Biologiya müəllimliyi
6001003	Coğrafiya müəllimliyi
6001004	Dil və ədəbiyyat müəllimliyi
6001005	Fizika müəllimliyi
6001006	Fiziki tərbiyə və çağırışaqədərki hazırlıq müəllimliyi
6001007	Xarici dil müəllimliyi
6001008	Xüsusi pedaqogika
6001009	İbtidai sinif müəllimliyi
6001010	İnformatika (rəqəmsal bacarıqlar) müəllimliyi
6001011	Kimya müəllimliyi
6001012	Kimya və biologiya müəllimliyi
6001013	Məktəbəqədər təhsil
6001014	Musiqi müəllimliyi
6001015	Riyaziyyat müəllimliyi
6001016	Riyaziyyat və fizika müəllimliyi
6001017	Riyaziyyat və informatika (rəqəmsal bacarıqlar) müəllimliyi
6001018	Tarix müəllimliyi
6001019	Tarix və coğrafiya müəllimliyi
6001020	Texnologiya müəllimliyi
6001021	Təhsildə sosial-psixoloji xidmət
6001022	Təsviri incəsənət müəllimliyi
6002001	Beynəlxalq münasibətlər
6002002	Davamlı inkişaf
6002003	Dinşünaslıq
6002004	Dövlət və ictimai münasibətlər
6002005	Fəlsəfə
6002006	Filologiya
6002007	Hüquqşünaslıq
6002008	İslamşünaslıq
6002009	Jurnalistika
6002010	Kitabxanaçılıq və informasiya fəaliyyəti
6002011	Kommunikasiya və rəqəmsal media
6002012	Politologiya
6002013	Psixologiya
6002014	Regionşünaslıq
6002015	Sosiologiya
6002016	Tarix
6002017	Tərcümə
6003001	Aktyor sənəti
6003002	Bəstəkarlıq
6003003	Dekorativ-tətbiqi sənət
6003004	Dirijorluq
6003005	Dizayn
6003006	Ədəbi yaradıcılıq və ekran dramaturgiyası
6003007	Heykəltəraşlıq
6003008	Xoreoqrafiya sənəti
6003009	İnstrumental ifaçılıq
6003010	Qrafika
6003011	Musiqişünaslıq
6003012	Muzey, arxiv işi və abidələrin qorunması
6003013	Operator sənəti
6003014	Populyar musiqi və caz ifaçılığı
6003015	Rejissorluq
6003016	Rəngkarlıq
6003017	Sənətşünaslıq
6003018	Vokal sənəti
6004001	Beynəlxalq ticarət və logistika
6004002	Biznesin idarə edilməsi
6004003	Dövlət və bələdiyyə idarəetməsi
6004004	İqtisadiyyat
6004005	Maliyyə
6004006	Marketinq
6004007	Menecment
6004008	Mühasibat
6005001	Biologiya
6005002	Biotexnologiya
6005003	Coğrafiya
6005004	Ekologiya
6005005	Fizika
6005006	Geologiya
6005007	Hidrometeorologiya
6005008	Kimya
6005009	Kompüter elmləri
6005010	Mexanika
6005011	Riyaziyyat
6005012	Statistika
6005013	Su bioehtiyatları və akvakultura
6006001	Aerokosmik mühəndislik
6006002	Aqromühəndislik
6006003	Aviasiya təhlükəsizliyi mühəndisliyi
6006004	Cihaz mühəndisliyi
6006005	Data analitikası
6006006	Dəniz naviqasiyası mühəndisliyi
6006007	Ekologiya mühəndisliyi
6006008	Elektrik və elektronika mühəndisliyi
6006009	Energetika mühəndisliyi
6006010	Geologiya və geofizika mühəndisliyi
6006011	Geomatika və geodeziya mühəndisliyi
6006012	Gəmi energetik qurğularının istismarı mühəndisliyi
6006013	Gəmiqayırma və gəmi təmiri mühəndisliyi
6006014	Hava nəqliyyatının hərəkətinin təşkili
6006015	Həyat fəaliyyətinin təhlükəsizliyi mühəndisliyi
6006016	İnformasiya texnologiyaları
6006017	İnformasiya təhlükəsizliyi
6006018	İnşaat mühəndisliyi
6006019	Kənd təsərrüfatı texnologiyaları
6006020	Kimya mühəndisliyi
6006021	Kommunikasiya sistemləri mühəndisliyi
6006022	Kompüter mühəndisliyi
6006023	Qida mühəndisliyi
6006024	Qida texnologiyaları
6006025	Logistika və nəqliyyat texnologiyaları mühəndisliyi
6006026	Maşın mühəndisliyi
6006027	Materiallar mühəndisliyi
6006028	Mexanika mühəndisliyi
6006029	Mexatronika və robototexnika mühəndisliyi
6006030	Meliorasiya mühəndisliyi
6006031	Memarlıq
6006032	Metallurgiya mühəndisliyi
6006033	Mədən mühəndisliyi
6006034	Mühəndislik fizikası
6006035	Neft-qaz mühəndisliyi
6006036	Nəqliyyat mühəndisliyi
