kod	ad
050101	Azərbaycan dili və ədəbiyyatı müəllimliyi
050102	Dil və ədəbiyyat müəllimliyi (dillər üzrə)
050103	Xarici dil müəllimliyi (dillər üzrə)
050104	Fizika müəllimliyi
050105	Riyaziyyat və informatika müəllimliyi
050106	Riyaziyyat müəllimliyi
050107	Fiziki tərbiyə və çağırışaqədərki hazırlıq müəllimliyi (qızlar üçün fiziki tərbiyə)
050108	Texnologiya müəllimliyi
050109	Musiqi müəllimliyi
050110	Biologiya müəllimliyi
050111	Kimya müəllimliyi
050112	Kimya və biologiya müəllimliyi
050113	Tarix müəllimliyi
050114	Tarix və coğrafiya müəllimliyi
050115	Coğrafiya müəllimliyi
050116	İnformatika müəllimliyi
050117	Təsviri incəsənət müəllimliyi
050118	İbtidai sinif müəllimliyi
050119	Korreksiyaedici təlim
050120	Məktəbəqədər təlim və tərbiyə
050121	Təhsildə sosial-psixoloji xidmət
050122	Rəqs müəllimliyi
050201	Filologiya (dil və ədəbiyyat göstərilməklə)
050202	Fəlsəfə
050203	Tərcümə (dillər üzrə)
050204	Jurnalistika
050205	Kitabşünaslıq
050206	Tarix
050207	Antropologiya
050208	Politologiya
050209	Psixologiya
050210	Sosiologiya
050211	Regionşünaslıq (regionlar üzrə)
050212	Hüquqşünaslıq
050213	Beynəlxalq münasibətlər
050214	Dinşünaslıq
050215	Kitabxanaçılıq və informasiya
050216	Dövlət və ictimai münasibətlər
050217	İslamşünaslıq
050301	Muzeyşünaslıq, arxiv işi və abidələrin qorunması
050302	Sənətşünaslıq
050303	İnstrumental ifaçılıq
050304	Solo oxuma
050305	Dirijorluq
050306	Bəstəkarlıq
050307	Musiqişünaslıq
050308	Xoreoqrafiya sənəti (sahələr üzrə)
050309	Estrada sənəti
050310	Xalq çalğı alətləri ifaçılığı
050311	Aktyor sənəti
050312	Dekorativ sənət
050313	Teatrşünaslıq
050314	Bədii yaradıcılıq və ekran dramaturgiyası
050315	Rejissorluq
050316	Kinoşünaslıq
050317	Operator sənəti
050318	Rəngkarlıq
050319	Qrafika
050320	Heykəltəraşlıq
050321	Dizayn
050401	Dünya iqtisadiyyatı
050402	Mühasibat uçotu və audit
050403	Maliyyə
050404	İqtisadiyyat
050405	Sənayenin təşkili və idarə olunması
050406	Statistika
050407	Menecment
050408	Marketinq
050409	Biznesin idarə edilməsi
050410	Dövlət və bələdiyyə idarəetməsi
050411	Kommersiya
050412	Davamlı inkişafın idarə edilməsi
050501	Riyaziyyat
050502	Mexanika
050503	Fizika
050504	Kimya
050505	Biologiya
050506	Coğrafiya
050507	Hidrometeorologiya
050508	Geologiya
050509	Kompüter elmləri
050510	Ekologiya
050601	Materialşünaslıq mühəndisliyi
050602	Geologiya mühəndisliyi
050603	Hidrogeologiya mühəndisliyi
050604	Geofizika mühəndisliyi
050605	Dağ-mədən mühəndisliyi
050606	Neft-qaz mühəndisliyi
050607	Neft-qaz qurğuları mühəndisliyi
050608	Elektroenergetika mühəndisliyi
050609	İstilik energetikası mühəndisliyi
050610	Enerji maşınqayırması mühəndisliyi
050611	Metallurgiya mühəndisliyi
050612	Maşın mühəndisliyi
050613	Avianəqliyyat istehsalatının təşkili mühəndisliyi
050614	Aviasiya texnikası avadanlıqlarının istismarı mühəndisliyi
050615	Hava nəqliyyatının hərəkətinin idarə olunması mühəndisliyi
050616	Uçuş mühəndisliyi
050617	Hava nəqliyyatında texnoloji proseslərin və istehsalatın təhlükəsizliyi mühəndisliyi
050618	Gəmiqayırma və gəmi təmiri mühəndisliyi
050619	Gəmi energetik qurğularının istismarı mühəndisliyi
050620	Dəniz naviqasiyası mühəndisliyi
050621	Dəmiryol nəqliyyatı və təsərrüfatı mühəndisliyi
050622	Yerüstü nəqliyyat vasitələrinin mühəndisliyi
050623	Nəqliyyatda daşımaların və idarəetmənin təşkili mühəndisliyi
050624	Cihazqayırma mühəndisliyi
050625	Texnoloji maşın və avadanlıqlar mühəndisliyi
050626	Elektrik mühəndisliyi
050627	Elektronika, telekommunikasiya və radiotexnika mühəndisliyi
050628	Proseslərin avtomatlaşdırılması mühəndisliyi
050629	Mexatronika və robototexnika mühəndisliyi
050630	Mexanika mühəndisliyi
050631	Kompüter mühəndisliyi
050632	İnformasiya texnologiyaları və sistemləri mühəndisliyi
050633	Memarlıq
050634	İnşaat mühəndisliyi
050635	Mühəndis sistemlərinin və qurğularının tikintisi mühəndisliyi
050636	Nəqliyyat tikintisi mühəndisliyi
050637	Meliorasiya və su təsərrüfatı tikintisi mühəndisliyi
050638	Tikinti materialları və məmulatlarının texnologiyası mühəndisliyi
050639	Meşə materiallarının və ağac emalının texnologiyası mühəndisliyi
050640	Geodeziya və xəritəçilik mühəndisliyi
050641	Kimya mühəndisliyi
050642	Qida məhsulları mühəndisliyi
050643	Çoxişlənən malların texnologiyası mühəndisliyi
050644	İstehlak mallarının ekspertizası və marketinqi
050645	Poliqrafiya mühəndisliyi
050646	Təkrar emal və bərpa texnologiyaları mühəndisliyi
050647	Metrologiya, standartlaşdırma və sertifikasiya mühəndisliyi
050648	Biotibbi texnologiya mühəndisliyi
050649	Ekologiya mühəndisliyi
050650	Yanğın təhlükəsizliyi mühəndisliyi
050651	Fövqəladə hallar və həyat fəaliyyətinin təhlükəsizliyi mühəndisliyi
050652	Kosmik texnologiyalar mühəndisliyi
050653	Kosmik texnika mühəndisliyi
050654	Kosmik idarəetmə sistemləri mühəndisliyi
050655	İnformasiya texnologiyaları
050656	Sistem mühəndisliyi
050657	Sənaye mühəndisliyi
050658	Logistika və nəqliyyat texnologiyaları mühəndisliyi
050659	Şəhərsalma
050701	Torpaqşünaslıq və aqrokimya
050702	Aqronomluq
050703	Zootexniklik
050704	Baytarlıq
050705	Yer quruluşu, torpaq və şəhər kadastrı
050706	Aqromühəndislik
050707	Balıqçılıq və balıqçılıq təsərrüfatı işi
050708	Meşəçilik
050709	Su bioehtiyatları və akvabitkilər
050710	Bitki mühafizəsi
050711	Bağçılıq və tərəvəzçilik
050712	Şərabçılıq
050801	Müalicə işi
050802	Pediatriya
050803	Hərbi həkim işi
050804	Tibbi profilaktika
050805	Stomatologiya
050806	Əczaçılıq
050807	Həkim yardımçısı
050808	Tibbi biologiya
