kod	ad
060101	Azərbaycan dili və ədəbiyyatı müəllimliyi
060102	Dil və ədəbiyyat müəllimliyi (dillər üzrə)
060103	Xarici dil müəllimliyi (dillər üzrə)
060104	Fizika müəllimliyi
060105	Riyaziyyat müəllimliyi
060106	Fiziki tərbiyə və çağırışaqədərki hazırlıq müəllimliyi (qızlar üçün fiziki tərbiyə)
060107	Texnologiya müəllimliyi
060108	Musiqi müəllimliyi
060109	Biologiya müəllimliyi
060110	Kimya müəllimliyi
060111	Tarix müəllimliyi
060112	Coğrafiya müəllimliyi
060113	İnformatika müəllimliyi
060114	Təsviri incəsənət müəllimliyi
060115	İbtidai sinif müəllimliyi
060116	Korreksiyaedici təlim
060117	Məktəbəqədər təlim və tərbiyə
060118	Təhsildə sosial-psixoloji xidmət
060119	Pedaqogika []
060201	Filologiya
060202	Fəlsəfə
060203	Tərcümə
060204	Jurnalistika
060205	Kitabşünaslıq
060206	Tarix
060207	Antropologiya
060208	Politologiya
060209	Psixologiya
060210	Sosiologiya
060211	Regionşünaslıq
060212	Hüquqşünaslıq
060213	Beynəlxalq münasibətlər
060214	Dinşünaslıq
060215	Kitabxanaçılıq və informasiya
060301	Muzeyşünaslıq, arxiv və abidələrin qorunması
060302	Sənətşünaslıq
060303	İnstrumental ifaçılıq
060304	Solo oxuma
060305	Dirijorluq
060306	Bəstəkarlıq
060307	Musiqişünaslıq
060308	Xoreoqrafiya sənəti
060309	Estrada sənəti
060310	Xalq çalğı alətləri ifaçılığı
060311	Aktyor sənəti
060312	Dekorativ sənət
060313	Teatrşünaslıq
060314	Bədii yaradıcılıq və ekran dramaturgiyası
060315	Rejissorluq
060316	Kinoşünaslıq
060317	Operator sənəti
060318	Rəngkarlıq
060319	Qrafika
060320	Heykəltəraşlıq
060321	Dizayn
060401	Dünya iqtisadiyyatı
060402	Mühasibat uçotu və audit
060403	Maliyyə
060404	İqtisadiyyat
060405	- Sənayenin təşkili və idarə edilməsi
060406	Statistika
060407	Menecment
060408	Marketinq
060409	Biznesin idarə edilməsi
060410	Dövlət və bələdiyyə idarəetməsi
060411	Kommersiya
060412	Davamlı inkişafın idarə edilməsi
060501	Riyaziyyat
060502	Mexanika
060503	Fizika
060504	Kimya
060505	Biologiya
060506	Coğrafiya
060507	Hidrometeorologiya
060508	Geologiya
060509	Kompüter elmləri
060510	Ekologiya
060601	Materialşünaslıq mühəndisliyi
060602	Geologiya mühəndisliyi
060603	Hidrogeologiya mühəndisliyi
060604	Geofizika mühəndisliyi
060605	Dağ-mədən mühəndisliyi
060606	Neft-qaz mühəndisliyi
060607	Neft-qaz qurğuları mühəndisliyi
060608	Elektroenergetika mühəndisliyi
060609	İstilik energetikası mühəndisliyi
060610	Enerji maşınqayırması mühəndisliyi
060611	Metallurgiya mühəndisliyi
060612	Maşın mühəndisliyi
060613	Avianəqliyyat istehsalatının təşkili mühəndisliyi
060614	Aviasiya texnikası avadanlıqlarının istismarı mühəndisliyi
060615	Hava nəqliyyatının hərəkətinin idarə olunması mühəndisliyi
060616	Uçuş mühəndisliyi
