daxili_kod	ad	seviyye	kohne_kod	kohne_ad	cari_kod	cari_ad	eminlik	qeyd
050118	Təhsildə sosial psixoloji xidmət	bachelor	050121	Təhsildə sosial-psixoloji xidmət	6001021	Təhsildə sosial-psixoloji xidmət	dəqiq	Mövcud kod 050118 SƏHV idi (=İbtidai sinif müəllimliyi).
050204	Fəlsəfə	bachelor	050202	Fəlsəfə	6002005	Fəlsəfə	dəqiq	Mövcud kod 050204 SƏHV idi (=Jurnalistika).
050211	Psixologiya	bachelor	050209	Psixologiya	6002013	Psixologiya	dəqiq	Mövcud kod 050211 SƏHV idi (=Regionşünaslıq).
050212	Regionşünaslıq	bachelor	050211	Regionşünaslıq (regionlar üzrə)	6002014	Regionşünaslıq	dəqiq	Mövcud kod 050212 SƏHV idi. Köhnə ad: Regionşünaslıq (regionlar üzrə).
050214	Tarix	bachelor	050206	Tarix	6002016	Tarix	dəqiq	Mövcud kod 050214 SƏHV idi (=Dinşünaslıq).
050403	Davamlı inkişafın idarə edilməsi	bachelor	050412	Davamlı inkişafın idarə edilməsi	6002002	Davamlı inkişaf	yüksək	AD DƏYİŞİB. Mövcud kod 050403 SƏHV idi (=Maliyyə).
050501	Biologiya	bachelor	050505	Biologiya	6005001	Biologiya	dəqiq	Mövcud kod 050501 SƏHV idi (=Riyaziyyat).
050501-63	Ekologiya Mühəndisliyi	bachelor	050649	Ekologiya mühəndisliyi	6006007	Ekologiya mühəndisliyi	dəqiq	Mövcud kod SƏHV idi.
050504	Ekologiya	bachelor	050510	Ekologiya	6005004	Ekologiya	dəqiq	Mövcud kod 050504 SƏHV idi (=Kimya).
050604	Cihaz Mühəndisliyi	bachelor	050624	Cihazqayırma mühəndisliyi	6006004	Cihaz mühəndisliyi	yüksək	AD DƏYİŞİB: Cihazqayırma mühəndisliyi → Cihaz mühəndisliyi. Mövcud kod 050604 SƏHV idi (=Geofizika müh.).
050615	İnformasiya Təhlükəsizliyi	bachelor			6006017	İnformasiya təhlükəsizliyi	dəqiq	Köhnə təsnifatda YOXDUR — yeni ixtisasdır. Mövcud kod 050615 SƏHV idi (=Hava nəql. hərəkətinin idarə olunması müh.).
050616	İnformasiya Texnologiyaları	bachelor	050655	İnformasiya texnologiyaları	6006016	İnformasiya texnologiyaları	dəqiq	Mövcud kod 050616 SƏHV idi (=Uçuş mühəndisliyi).
050620	Kompüter Mühəndisliyi	bachelor	050631	Kompüter mühəndisliyi	6006022	Kompüter mühəndisliyi	dəqiq	Mövcud kod 050620 SƏHV idi (=Dəniz naviqasiyası müh.).
050624	Cihazqayırma mühəndisliyi	bachelor	050624	Cihazqayırma mühəndisliyi	6006004	Cihaz mühəndisliyi	dəqiq	Mövcud kod DOĞRU. Yeni təsnifatda ad Cihaz mühəndisliyi.
050628	Mexanika mühəndisliyi	bachelor	050630	Mexanika mühəndisliyi	6006028	Mexanika mühəndisliyi	dəqiq	Mövcud kod 050628 SƏHV idi.
050629	Mexatronika və robototexnika mühəndisliyi	bachelor	050629	Mexatronika və robototexnika mühəndisliyi	6006029	Mexatronika və robototexnika mühəndisliyi	dəqiq	Mövcud kod DOĞRU.
050706	Meşəçilik	bachelor	050708	Meşəçilik	6007007	Meşəçilik	dəqiq	Mövcud kod 050706 SƏHV idi (=Aqromühəndislik). Meşəçilik = 050708.
