accounts_academicprofileitem | 9 sütun | 5 sətir
accounts_emailotp | 11 sütun | 1 sətir
accounts_userprofile | 30 sütun | 352 sətir
ai_assistant_aiassistantlog | 12 sütun | 0 sətir
appeals_appeal | 12 sütun | 32 sətir
appeals_appealitem | 12 sütun | 58 sətir
appeals_scoreadjustment | 13 sütun | 0 sətir
assignments_assignment | 17 sütun | 0 sətir
assignments_assignment_assigned_students | 3 sütun | 0 sətir
assignments_notification | 8 sütun | 0 sətir
assignments_submission | 14 sütun | 0 sətir
audit_auditlog | 17 sütun | 3590 sətir
auth_group | 2 sütun | 0 sətir
auth_group_permissions | 3 sütun | 0 sətir
auth_permission | 4 sütun | 56 sətir
auth_user | 11 sütun | 352 sətir
auth_user_groups | 3 sütun | 0 sətir
auth_user_user_permissions | 3 sütun | 0 sətir
blog_category | 11 sütun | 0 sətir
blog_comment | 6 sütun | 0 sətir
blog_post | 19 sütun | 0 sətir
blog_postapprovallog | 6 sütun | 0 sətir
blog_question | 6 sütun | 0 sətir
blog_question_visible_users | 3 sütun | 0 sətir
blog_subscriber | 5 sütun | 0 sətir
contact_contactmessage | 17 sütun | 0 sətir
courses_course | 15 sütun | 29 sətir
courses_coursegroup | 7 sütun | 0 sətir
courses_coursegroup_members | 3 sütun | 0 sətir
courses_courseinstructor | 6 sütun | 0 sətir
courses_coursemembership | 6 sütun | 325 sətir
courses_courseresource | 9 sütun | 0 sətir
courses_coursetopic | 6 sütun | 149 sətir
django_admin_log | 8 sütun | 0 sətir
django_content_type | 3 sütun | 14 sətir
django_migrations | 4 sütun | 54 sətir
django_session | 3 sütun | 2075 sətir
exams_aiconfiguration | 8 sütun | 0 sətir
exams_bankquestion | 19 sütun | 21 sətir
exams_bankquestionoption | 7 sütun | 85 sətir
exams_codingexamquestion | 18 sütun | 2 sətir
exams_codingfile | 8 sütun | 0 sətir
exams_codingsubmission | 18 sütun | 0 sətir
exams_codingtestcase | 8 sütun | 4 sətir
exams_exam | 32 sütun | 57 sətir
exams_exam_allowed_groups | 3 sütun | 14 sətir
exams_exam_allowed_users | 3 sütun | 1 sətir
exams_exam_excluded_users | 3 sütun | 1 sətir
exams_examanswer | 14 sütun | 1948 sətir
exams_examanswer_selected_options | 3 sütun | 1385 sətir
exams_examanswerfile | 4 sütun | 0 sətir
exams_examattempt | 29 sütun | 185 sətir
exams_examgradeevent | 8 sütun | 0 sətir
exams_examlanguagevariant | 8 sütun | 4 sətir
exams_examquestion | 27 sütun | 4949 sətir
exams_examquestionoption | 7 sütun | 23365 sətir
exams_examroom | 13 sütun | 2 sətir
exams_examroom_invigilators | 3 sütun | 3 sətir
exams_examroomcomputer | 12 sütun | 25 sətir
exams_examroomsession | 17 sütun | 3 sətir
exams_examroomsession_staff | 3 sütun | 0 sətir
exams_examstudentpin | 9 sütun | 278 sətir
exams_examsupervisionconfig | 17 sütun | 6 sətir
exams_finalexamticket | 32 sütun | 96 sətir
exams_proctoringlog | 5 sütun | 0 sətir
exams_questionbank | 18 sütun | 3 sətir
exams_questionblock | 6 sütun | 2 sətir
exams_questionsubmission | 25 sütun | 0 sətir
exams_questionsubmission_student_groups | 3 sütun | 0 sətir
exams_studentexamattemptgrant | 7 sütun | 15 sətir
exams_studentgroup | 6 sütun | 5 sətir
exams_studentgroup_students | 3 sütun | 152 sətir
exams_studentgroup_subjects | 3 sütun | 100 sətir
exams_studentgroup_teachers | 3 sütun | 1 sətir
exams_supervisionincident | 11 sütun | 327 sətir
exams_textextractionjob | 15 sütun | 8 sətir
labs_lab | 22 sütun | 0 sətir
labs_lab_allowed_students | 3 sütun | 0 sətir
labs_labanswer | 12 sütun | 0 sətir
labs_labassignment | 4 sütun | 2 sətir
labs_labassignment_assigned_questions | 3 sütun | 6 sətir
labs_labblock | 7 sütun | 0 sətir
labs_labquestion | 8 sütun | 0 sətir
labs_labsubmission | 13 sütun | 0 sətir
live_exam_liveanswer | 10 sütun | 0 sətir
live_exam_liveplayer | 11 sütun | 0 sətir
live_exam_livesession | 15 sütun | 0 sətir
monitoring_incident | 21 sütun | 0 sətir
monitoring_securityevent | 16 sütun | 13 sətir
notifications_inappnotification | 12 sütun | 699 sətir
notifications_studentorganizationrequest | 11 sütun | 0 sətir
organizations_academicperiod | 15 sütun | 7 sətir
organizations_country | 4 sütun | 0 sətir
organizations_institution | 6 sütun | 0 sətir
organizations_membership | 12 sütun | 309 sətir
organizations_organization | 22 sütun | 1 sətir
organizations_orgunit | 15 sütun | 10 sətir
organizations_role | 12 sütun | 45 sətir
projects_project | 11 sütun | 0 sətir
projects_project_assigned_students | 3 sütun | 0 sətir
projects_projectsubmission | 11 sütun | 0 sətir
registrar_assessmentcomponent | 11 sütun | 3 sətir
registrar_assessmentscheme | 14 sütun | 6 sətir
registrar_componentscore | 8 sütun | 0 sətir
registrar_componentscorecorrection | 13 sütun | 0 sətir
registrar_courseoffering | 11 sütun | 16 sətir
registrar_coursework | 9 sütun | 0 sətir
registrar_courseworkcorrection | 16 sütun | 0 sətir
registrar_criterionscore | 8 sütun | 0 sətir
registrar_curriculum | 8 sütun | 2 sətir
registrar_curriculumsubject | 11 sütun | 22 sətir
registrar_enrollment | 9 sütun | 220 sətir
registrar_finalgrade | 10 sütun | 177 sətir
registrar_groupelectivechoice | 9 sütun | 0 sətir
registrar_journalcorrection | 16 sütun | 2 sətir
registrar_kollokviumextragrant | 9 sütun | 1 sətir
registrar_kollokviumwindow | 10 sütun | 2 sətir
registrar_lesson | 13 sütun | 87 sətir
registrar_lessoncorrection | 24 sütun | 0 sətir
registrar_lessonmark | 9 sütun | 1740 sətir
registrar_program | 11 sütun | 2 sətir
registrar_resitrecord | 9 sütun | 0 sətir
registrar_rubric | 7 sütun | 0 sətir
registrar_rubriccriterion | 8 sütun | 0 sətir
registrar_scheduleslot | 12 sütun | 2 sətir
registrar_selfworkcorrection | 13 sütun | 0 sətir
registrar_selfworkmark | 8 sütun | 0 sətir
registrar_selfworktopic | 7 sütun | 0 sətir
registrar_studentacademicrecord | 11 sütun | 44 sətir
registrar_subject | 9 sütun | 31 sətir
trial_exams_trialexamrequest | 20 sütun | 0 sətir
