alerts_workers | 4 sütun | 629 sətir (təxmini)
allowed_qb | 9 sütun | 3049 sətir (təxmini)
balvereqi_logs | 5 sütun | 24810 sətir (təxmini)
books | 8 sütun | 0 sətir (təxmini)
books_order | 10 sütun | 0 sətir (təxmini)
curricula | 11 sütun | 126 sətir (təxmini)
curricula_plan | 18 sütun | 3405 sətir (təxmini)
curricula_plan_patok | 8 sütun | 0 sətir (təxmini)
curricula_tam | 6 sütun | 170 sətir (təxmini)
curricula_tasks | 7 sütun | 0 sətir (təxmini)
curricula_tasks_content | 6 sütun | 5 sətir (təxmini)
curricula_tasks_content_teachers | 5 sütun | 0 sətir (təxmini)
departments | 13 sütun | 31 sətir (təxmini)
ders_cedveli | 18 sütun | 433 sətir (təxmini)
exam_answers | 10 sütun | 1301676 sətir (təxmini)
exam_list | 11 sütun | 5908 sətir (təxmini)
exam_questions | 9 sütun | 298488 sətir (təxmini)
exam_question_topics | 6 sütun | 853 sətir (təxmini)
exam_students_start | 12 sütun | 28017 sətir (təxmini)
ferdi_plan | 5 sütun | 0 sətir (təxmini)
groups | 14 sütun | 766 sətir (təxmini)
holidays | 3 sütun | 18 sətir (təxmini)
imthngrscxsblr | 7 sütun | 12440 sətir (təxmini)
journals | 25 sütun | 13773 sətir (təxmini)
journals_dates | 8 sütun | 42316 sətir (təxmini)
journals_dates_added_by_teacher | 7 sütun | 378216 sətir (təxmini)
journals_dates_parsed | 8 sütun | 34272 sətir (təxmini)
journals_dates_points | 17 sütun | 4979126 sətir (təxmini)
journals_dates_points_archive | 17 sütun | 773080 sətir (təxmini)
journals_dates_rooms | 11 sütun | 290598 sətir (təxmini)
journals_files | 7 sütun | 23085 sətir (təxmini)
journal_exam_joint | 4 sütun | 5041 sətir (təxmini)
lessons | 10 sütun | 2521 sətir (təxmini)
level_exams | 4 sütun | 12 sətir (təxmini)
level_exams_questions | 11 sütun | 496 sətir (təxmini)
level_exams_topics | 5 sütun | 113 sətir (təxmini)
level_results | 6 sütun | 1479 sətir (təxmini)
niq | 4 sütun | 0 sətir (təxmini)
notifications | 9 sütun | 15 sətir (təxmini)
notifications_groups | 8 sütun | 0 sətir (təxmini)
notifications_logs | 6 sütun | 11 sətir (təxmini)
ntg | 2 sütun | 41 sətir (təxmini)
rooms | 10 sütun | 158 sətir (təxmini)
room_types | 2 sütun | 4 sətir (təxmini)
semestr_jurnal | 4 sütun | 13 sətir (təxmini)
sillabus | 13 sütun | 8116 sətir (təxmini)
sillabus_certificates | 3 sütun | 8910 sətir (təxmini)
sillabus_dersin_islenme_formasi | 3 sütun | 8272 sətir (təxmini)
sillabus_derslikler | 3 sütun | 15073 sətir (təxmini)
sillabus_eldeolunacaq_tecrubeler | 3 sütun | 8523 sətir (təxmini)
sillabus_elmi_maraq | 3 sütun | 10123 sətir (təxmini)
sillabus_imtahan_suallari | 3 sütun | 21233 sətir (təxmini)
sillabus_qarsilama_mesaji | 3 sütun | 4765 sətir (təxmini)
sillabus_sem_muh | 9 sütun | 130891 sətir (təxmini)
sillabus_serbest_is | 3 sütun | 60372 sətir (təxmini)
sillabus_tesviri_ve_meqsedi | 3 sütun | 5664 sətir (təxmini)
sillabus_yoxlama_formasi | 3 sütun | 7624 sətir (təxmini)
smestr | 6 sütun | 9 sətir (təxmini)
speciality | 7 sütun | 83 sətir (təxmini)
students | 36 sütun | 7614 sətir (təxmini)
students_login_logs | 5 sütun | 0 sətir (təxmini)
students_telegram | 5 sütun | 48928 sətir (təxmini)
students_tg_reply | 3 sütun | 106 sətir (təxmini)
track_student | 5 sütun | 1003 sətir (təxmini)
turnirs | 6 sütun | 0 sətir (təxmini)
turnirs_joined_students | 4 sütun | 0 sətir (təxmini)
turnirs_questions | 10 sütun | 0 sətir (təxmini)
turnirs_starts | 5 sütun | 0 sətir (təxmini)
turnir_results | 5 sütun | 0 sətir (təxmini)
turnir_schedule | 6 sütun | 0 sətir (təxmini)
turnir_students_answers | 8 sütun | 0 sətir (təxmini)
umumi_orta_bal | 3 sütun | 1570 sətir (təxmini)
update_log | 9 sütun | 252582 sətir (təxmini)
workers | 20 sütun | 729 sətir (təxmini)
workers_login_logs | 5 sütun | 0 sətir (təxmini)
workers_permits | 3 sütun | 914 sətir (təxmini)
xidmeti_muraciet | 13 sütun | 2 sətir (təxmini)
xidmeti_muraciet_files | 5 sütun | 3 sətir (təxmini)
yekun | 12 sütun | 17252 sətir (təxmini)
yekun_24_02_2023 | 12 sütun | 0 sətir (təxmini)
yekun_old | 12 sütun | 0 sətir (təxmini)
